id,latitude,longitude,last_scraped,description
352432,55.94837,-3.22108,2024-02-19,"The flat is in the West end of central Edinburgh. It has 3 bedrooms, one en suite and one with two single beds. The en suite bedroom has a king size bed and the other a double bed. There is a large kitchen dining room with sunroom off and a  family bathroom. There is a large sitting room with TV. At the rear is a sunny private garden. It is a short walk from the Haymarket tram/ railway and bus stops with lots of restaurants and shops at Haymarket. A twenty minute walk to East Princes Princes St."
355938,55.94929,-3.18991,2024-02-19,Beautiful very well located apartment on the Royal Mile. 2 large bedrooms and spacious lounge to sit and watch the world go by.
356028,55.97228,-3.18869,2022-05-17,"Victorian top floor apartment in residential neighbourhood Trinity/Leith area NE Edinburgh with amazing castle skyline views.  <br /><br />One bedroom,  kitchen/diner, sitting room, bathroom & separate toilet.  High speed broadband.<br /><br />10 min bus ride to city centre or walk 30 min into town along the cycle path.<br /><br />Famous weekly Saturday Street Food Market 'The Pitt' 2 mins walk away.  12-10pm<br /><br />No additional cleaning fee or charges<br /><br /><b>The space</b><br />Lovely large bedroom east facing with UK king size 150x200cm sleigh bed, with shutters and thick curtains.<br /><br />Two large reception rooms (kitchen/diner and a sitting room),  bathroom and a separate WC. TV and Virgin cable wifi internet. <br /><br />Great west facing shared garden which gets sunshine all afternoon, with a bench (for a bit of contemplation or chatting to my lovely neighbours)<br /><br />You are more than welcome to use my bike.<br /><br />Local shop two mins walk away is Scotmid"
363392,55.93451,-3.21636,2020-12-31,"<b>The space</b><br />This is a fully furnished 2 bedroom flat in a Victorian villa in Bruntsflield close to the Meadows. This accommodation is practical, pleasant and has comfortable furnishing. It has a spacious living room with high ceilings. This flat can sleep up to 4 people and is ideal for a couple with one or two children.<br /><br />Fully equipped kitchen : hotplates, oven, microwave, fridge/freezer, kettle and washing machine/dryer.<br />Towels and Linen provided (Weekly change of linen/towels and weekly cleaning may be arranged at an extra charge)<br />Child cot/ travel cot and high chair can be made available if needed.<br />Gas Central heating<br />Welcome Pack and greeting service included.<br />Parking: Metered Parking Mon-Sat 08:30-18:00, free outside these hours<br />Excellent bus service to all parts of Edinburgh.<br />Within a few minutes walking distance: Grocers, Banking Machine, Restaurant, bus Stop.<br /><br />- This is a no smoking property and not suitable for "
375350,55.95316,-3.20023,2021-01-01,"<b>The space</b><br />Located on Frederick Street, the Bed and Breakfast is owned by Katy & David Tweedie and is situated on the second and third floors, of an original Georgian townhouse that dates from circa 1820, in the heart of Edinburgh's New Town.<br /><br />This cosy and friendly Bed and Breakfast is managed by Katy & David. Both David and Katy grew up in Edinburgh and are always on hand to give helpful advice on the best places to visit, eat and, of course, drink in the city.<br /><br />This listing if for a double en-suite room. <br /> <br />We are located just a minute's walk from Princes Street, with stunning views of the New Town, Princes Street, and, from some rooms, Edinburgh Castle. This is an elegant and extremely spacious guest house, typified in the welcoming open hall with feature bow wall and staircase to upper floor.<br /><br />The B&B in Edinburgh has the added bonus of offering easy access to Edinburgh Airport and major road and rail networks. As Waverley Railway"
391558,55.95758,-3.18844,2024-04-24,"Warm, cosy and comfortable, our main door home is the perfect city centre base located in the New Town of Edinburgh, a world Heritage Site.<br /><br />The flat is accessed via the original, fifteen external stone steps from the pavement via a secure and lockable cast iron gate.<br /><br />Our flat was the original kitchen in the house and we have exposed the original 1800 fireplaces, originally used for cooking and laundry."
399593,55.95696,-3.20817,2020-12-31,"Elegant fully furnished Ground Floor Georgian Town House Located in City Center<br />Excellent central,quiet location, with all the local amenities of Stockbridge on the doorstep, as well as bus routes to all parts of the city. <br />Only a five minute walk to the city center.<br /><br /><b>The space</b><br />My home is a beautiful Grade 1 Georgian property, located in a gorgeous cobble stone street in Central Edinburgh. <br /><br />Elegant fully furnished Ground Floor Flat in fine listed Georgian Town House. <br />Excellent central, but quiet location, with all the local amenities of Stockbridge on the doorstep, as well as bus routes to all parts of the city. <br />Only a five minute walk to Princes Street & ten minutes from Waverley and Haymarket Station. <br />Large Bedroom furnished with a Four Poster Double Bed ( Very Comfortable) to the back of the flat, overlooking the garden. <br />Large spacious furnished drawingroom with working shutters and new sofa bed. <br />Dinning Table "
405790,55.95006,-3.19234,2024-02-18,"Spacious, fun view, bright and sunny.  Quiet, traffic free square visited frequently throughout the day by Edinburgh walking tours. World Heritage Old Town central location on Royal Mile. Close to Castle, station and shops. Street performances, bars and restaurants close by. Living room, kitchen/dining, double bedroom plus two singles room. Top floor, no lift, shared entrance behind Deacon Brodies, opposite Writers Museum ."
450745,55.94195920368399,-3.1789784590201173,2024-02-18,"Lovely flat, convenient for the University, tourist sites and Festival venues.  The Royal Mile is just a 15 minute walk away.  Princes Street is a 20-25 min walk for shopping and sightseeing or you can hop  on the bus.  The building is set back from the road overlooking Holyrood Distillery. Holyrood Park is 200m away with Arthur’s Seat and the Salisbury Crags  to enjoy.  Allocated parking available on-site, if booked in advance.<br /><br />Great space for visitors to Edinburgh at any time of year!"
458510,55.95296,-3.20537,2020-12-31,"<b>The space</b><br />Young Street is in the very heart of Georgian Edinburgh, within a short walk of all the best city amenities including Museums, Theatres, Galleries, Shops, Restaurants and Bars, this fabulously located comfortable quiet second floor flat offers everything the visitor could want.<br />Young Street is an extension of Thistle Street that is home to a dozen or so of the best restaurants in town. One block away is George Street, running from St. Andrew Square (Harvey Nichols) to Charlotte Square, and is probably the classiest shopping street in Scotland. A minutes walk away is Princes Street with The National Gallery, Edinburgh Castle and Waverley Railway Station all right there!<br />Opposite the Oxford Bar, famous watering hole of Inspector Rebus, this flat is ideally suited to a couple, with Living Room, Kitchen, Bedroom and Bathroom, TV and WiFi.<br /><br /><b>Other things to note</b><br />Late arrival charges payable in sterling on arrival - £20 between 20.00 and 2"
518464,55.968,-3.17683,2021-01-01,"<b>The space</b><br />WE HAVE ANOTHER ROOM AVAILABLE TO RENT IN THE HOUSE , IN CASE YOUR REQUESTED DAYS ARE NOT FREE...CHECK THIS OUT:  <br />http://www.airbnb.co.uk/rooms/1072370 <br /> <br />This is a huge and bright double room in a non smoking flat with clean and light shared bathroom in the third floor of a new building with secured entry door and elevator. The room has a comfortable double-bed, and a wardrobe. <br /> Full use of all facilities in the kitchen, including dishwasher,gas hob, oven, microwave and washing machine. <br />You will also have Wi-fi, bedding and towels included. <br />Situated at less than 20 min walking from the city center ( or 5 GBP by taxi) in a quiet street just off Leith walk. Free parking available. Bus stop around the corner with buses to the city center every 5 minutes. There are lots of nice coffee shops, delis,pubs,cinemas and restaurants near by and of course a big supermarket too. Just behind the flat you will find a big park ideal for a walk o"
603446,55.95004653930664,-3.188728094100952,2024-02-18,"The apartment is a great space for the Festival and also very close to shopping opportunities, bars, pubs, and public transport. The cozy atmosphere of the neighborhood and the apartment itself will make your stay an amazing experience.<br /><br />Located in the Lawnmarket area of Royal Mile, minutes away from the Castle!<br /><br />On the 1st floor, sorry no lift!"
603502,55.95004653930664,-3.188728094100952,2024-02-18,"The apartment is a great space for the Festival and also very close to Edinburgh's sights, various shopping opportunities, bars, pubs, and public transport. The cozy atmosphere of the neighborhood and the apartment itself will make your stay an amazing experience.<br />On the 1st floor, sorry no lift"
603726,55.95005,-3.18873,2020-12-19,"The apartment is a great space for the Festival and also very close to shopping opportunities, bars, pubs, and public transport. The cozy atmosphere of the neighborhood and the apartment itself will make your stay an amazing experience.<br /><br />Beautiful views across the city and the Old Town.<br /><br /><b>The space</b><br />3 Bedroom Central Luxury Apartment on the Historic Royal Mile<br /><br />This is a three bedroom apartment in Edinburgh, located on the world famous Great Mile right in the middle of the city. Therefore, this apartment is ideal for all kinds of visitors, for the festival, shopping, sightseeing or just enjoying a good time in the city.<br />The luxury apartment can accomodate up to 6 people, and the layout of the beds can be arranged in either single or double beds in each bedroom. The apartment has a wall mounted flat screen TV, comes with a multi-region DVD player, and high speed WIFI internet. The modern kitchen is fully fitted and equipped.<br /><br />The ap"
603996,55.98616,-3.18849,2024-02-19,"Ocean Serviced Apartments offer a Two Bedroom Serviced Apartment, sleeping 4 persons.<br /><br />This comfortable apartment consists of 2 bedrooms, 2 bathrooms, open plan kitchen and lounge area. The beds in this apartment can be set as king size or single beds, based on your preferences.  A FREE underground parking and a complimentary WIFI will be provided. Our building is located at the sea front, approximately 2.5 miles from the city centre. A direct bus to the centre stops just outside our building."
619889,55.94696,-3.19844,2024-02-19,"This very central apartment boasts one of the finest views of the castle in Edinburgh. A very spacious apartment, it has a modern, stylishly, designed living area with a highly equipped kitchen and double bedroom with a 4 poster bed."
627527,55.96706,-3.19422,2024-02-18,"Double bedroom with your own private bathroom. Toiletries and hair dryer, Towels provided.<br />Free parking available ( I will give you a permit)"
633029,55.9598,-3.20974,2021-01-01,"Saunders Street is bright and spacious,<br /><br /><b>The space</b><br />5/15 SAUNDERS STREET, EDINBURGH, EH3 6TQ<br /><br />A stylish, spacious two bedroom maisonette flat overlooking the Water of Leith in the popular area of Stockbridge with its independent shops, restaurants, cafes, galleries and pleasant walks. An oasis of peace and quiet, ten minutes walk from Central Edinburgh <br /><br />This is a top flat in a block of modern flats set off the main road in a quiet cul-de-sac overlooking the Water of Leith, the river than flows through Edinburgh. A 15 minute walk through the Georgian New Town brings you to the attractions of Edinburgh's city centre and a 10 minute walk takes you to The Royal Botanic Gardens.  Walk straight from the flat alongside the Water of Leith past St Bernards well to the picturesque and historic Dean Village. <br /><br />Entering the flat by the front door you ascend the stairs to a spacious hallway which leads to 2 good-sized double bedrooms, one with a d"
640398,55.92795,-3.17312,2024-02-18,"Spacious twin room (max. 2 people) in a Victorian family house near Edin. Uni. & Kings Buildings. 2.5km fr. the Royal Mile & 3km fr. Princes St. 5 mins walk to a major bus route, many buses to and from the City Centre, only 10 mins bus ride."
682325,55.96951,-3.16288,2020-12-31,"<b>The space</b><br />Bed & Breakfast in period Townhouse in Edinburgh's Leith Links area overlooking park. Owners (Italian & English spoken) live in property and provide Scottish breakfast (with choice of vegetarian version) to guests in the house dining room.<br />PLEASE NOTE...Our kitchen and other rooms in the house are not accessible to our guests.<br />The house is within walking distance to the famous ""The Shore"" dockland pubs & restaurants. There is free all day street parking and frequent bus services to town centre.<br /><br />Our two ""airbnb"" rooms are on the second floor of our Victorian townhouse.<br />The ""King"" room has a lovely roof bay window with park view,  is elegantly furnished with a Super King bed and has coffee and tea making facilities, Freeview TV and free Internet WIFI. A bathroom with shower and bath is just outside our two B&B rooms and is shared exclusively by both.<br /><br />Please note our offered room tariff is based on 2 guests occupying one room. If "
751798,55.94815,-3.18759,2020-12-31,"High above Edinburgh Old Town. Uninterrupted views of Edinburgh Castle and Hogmanay Fireworks. Clear views to the sea and Arthurs sea. A very unique place to stay.<br /><br /><b>The space</b><br />A unique apartment in the heart of Edinburgh Old Town. Above the crowds with stunning views to historic Edinburgh Castle, the Scottish east coast and the magnificent Arthurs Seat and everything that Edinburgh has to offer the visitor all year round. <br /> <br />A wonderful place to stay.This self catering apartment has everything you need whether you are staying for one night, a week or longer. It has the most stunning views of the Edinburgh skyline right in the centre of the city. Wonderfully light with a friendly atmosphere. Suitable for the writer, walker, artist, vacationing family or get away from it all couple and friends. <br /> <br />The apartment consist of kitchen and separate bedroom with views to the sea and the magnificent Arthurs Seat and a larger dormer ceilinged room with dir"
853803,55.95807,-3.18317,2024-02-19,"With open outlook to Calton Hill, Leopold Place is 0.3 miles from the main tram stop in York Place, 0.6 miles from Waverley Station,  near the Bus Station,Topping Bookshop,the Playhouse Theatre, the Omni Cinema, cafes and restaurants. There are major bus routes in all directions. Royal Botanical Gardens 1 mile, Royal Scottish Museum 0.9 miles, Portobello Beach 2.6 miles"
893085,55.95007,-3.1927,2024-02-18,"Situated at the top of the famous Royal Mile, 100 metres from the entrance to Edinburgh Castle is the newly-refurbished David Hume Residence. It is in a grade A listed building within the Edinburgh Old Town UNESCO world heritage site, and is named after the famous Scottish Philosopher who took up residence in the culturally significant Riddell’s Court in 1751."
904992,55.96024,-3.16119,2024-02-19,"The Lochend Park View Residence with lift and private balcony is bright and spacious, enjoying good views to Lochend Loch at front and from the back to the City of Edinburgh. <br /> <br />The apartment is located in a quiet cul-de-sac two miles from the city centre and close to the local amenities on offer on Easter Road and Leith Walk. There is a huge cosmopolitan variety of small local retailers, cafes and restaurants.  A Sainsburys supermarket is nearby at Meadowbank Retails Park."
954577,55.95765,-3.21577,2023-06-12,"<b>The space</b><br />This is a lovely ground floor flat in the very popular Stockbridge area of Edinburgh. It is fully equipped with washing machine, fridge freezer, TV, wi-fi, and central heating. There is a comfortable lounge with a dining area, and a  small kitchen off. There is a bathroom with power shower over the bath and a good size double bedroom with a large fitted wardrobe.  <br /> <br />The accommodation is suitable for a single person or a couple. There is no possibility of an extra person sleeping in the lounge. <br /> <br />The flat is only a few minutes bus ride from the centre of the city - or a ten to fifteen minute walk for the energetic. There are lots of trendy restaurants and bars nearby. There are small boutique shops just round the corner, as well as a great variety of charity and vintage shops.  There are also two local supermarkets. Inverleith Park, the beautiful Botanical Gardens and a local swimming pool are all within walking distance. <br /> <br />The perf"
984471,55.88883,-3.34193,2021-07-10,"A beautiful cottage to relax in. Enjoy the patio with garden views.  Free, private parking. A cosy Gatehouse, (perfect for a couple, or family of four) Your home from home, near a village just seven miles from city centre. Explore Edinburgh and Scottish countryside, with bus routes nearby. Visit golf courses, whisky distilleries and castles or simply rest in a romantic cottage Ideal location for Edinburgh airport, RBS and Heriot-Watt University.<br /><br /><b>The space</b><br />The house suits a couple (or family of four). There is a wood panelled bedroom on upper floor with king size bed. Sitting room on ground floor has two sofas and double daybed. There is space to dine at a table with four chairs, plus a TV (with DVD player) books and magazines. The kitchen has an oven, two ring induction hob, sink, fridge, dishwasher, kettle and toaster.  There is grocery store in village (just 10 minute walk). A very simple shower room is on ground floor with electric shower, toilet, wash basin. "
994272,55.95499,-3.16413,2023-02-14,"his modern 2 bedroomed apartment in a new block with private parking in an underground garage and lift is quite exceptional.   Although essentially ground floor, it is above the basement flat and has breathtaking Southerly views across the Royal Park<br /><br /><b>The space</b><br />This modern 2 bedroomed apartment in a new block with private parking in an underground garage and lift is quite exceptional.   Although essentially ground floor, it is above the basement flat and has breathtaking Southerly views across the Royal Park towards the rock features known as Arthurs Seat and Salisbury Crags.  A pleasant 10 minute stroll through the park from the seclusion of this luxury flat takes you to the attractions of the historic old city of Edinburgh - Holyrood Palace ( the Queen's Residence in Edinburgh ) the Scottish Parliament, Dynamic Earth and the Royal Mile.<br />There is a large open plan living room with kitchen and dining area.  The kitchen is very well equipped with hob, oven/gri"
998663,55.93193,-3.22434,2020-12-31,"Cosy spacious attic style room. South facing window overlooking the garden and canal<br /><br /><b>The space</b><br />A delightful family home with clean and comfortable accommodation, seven minutes by bus, Nos 10 and 27, to the City centre. A stone Georgian style house in the mainly residential area of Merchiston, overlooking the canal and Harrison Park, with good local walks and runs. We have a space for parking in our driveway but we cannot guarantee that it will always be available. There is plenty on street parking nearby.<br /><br />There are three double bedrooms available and a bathroom and shower room, but not en suite. This listing refers to our attic style room overlooking the canal. The other rooms are called Provencal (https://www.airbnb.co.uk/manage-your-space/5914966/details) and Attic Style (https://www.airbnb.co.uk/manage-your-space/5915576/details).<br /><br />The local shops are five minutes away and Bruntsfield, a main shopping area with cafes and restaurants is ten"
1012100,55.94733,-3.19475,2024-10-18,"This spacious and bright one-bedroom apartment is located on a peaceful side street, off the famous and historic Grassmarket, in the centre of Edinburgh's Old Town. Fully licensed property - licence number EH-69130-F"
1040492,55.98879,-3.18733,2022-03-14,"<b>The space</b><br />Set in Edinburgh’s fashionable Western Harbour , this Large 2 Bedroom 2 Bathroom Apartment within sight of the Castle and Old Town, this Waterfront Apartment is modern, stylish and contemporary way to make the best of your stay in Edinburgh. <br /><br />The Price shown is per night for the WHOLE ENTIRE APARTMENT!! , <br /><br />Contact me for weekly or monthly special prices, discount for stays 7 nights or longer <br /><br />We can accommodate upto 6 adults<br /><br />Enjoy all the comfort and space of an Apartment and all the standards of a top class hotel and at really great rates too,and you’ll wonder why you ever stayed anywhere other than this western harbour waterfront apartment<br /><br />Whether it’s for business trip or a family holiday, whatever brings you to Edinburgh , we have the ideal apartment for you. Two bedrooms, two bathrooms, and a kitchen you’ll love. <br /><br />Stay with us for 2nights , a week, or a month, . Whatever’s important to you, com"
1075867,55.95423,-3.2068,2024-02-19,"We're an easy walk from everything you'd like to see at the Festival and Fringe, and our central home offers loads of room, charming decor, ample space and beautiful garden. Whether you want to binge on the Fringe, sightsee, shop, check out the local market or just chill, we think you'll love it!"
1081177,55.95508,-3.20249,2024-02-19,"We look forward to welcoming you to our home. Your room is the master bedroom on the first (U.S. 2nd) floor. You will usually be able to relax in the elegant drawing room, and breakfast under the eye of family portraits in the ground floor dining room, enjoying home made bread and jams. The tides of Edinburgh family life will wash around the edges of your stay as you have the chance of an insight into what it is like to live in our wonderful city."
1089242,55.93309,-3.14368,2021-03-13,"holiday apartment with 2 bathrooms 2 bedrooms, 1 living room , open plan dinning kitchen , lift access , free paring<br />, by bus, takes 10-15 minutes from Princes street (royal mile),<br />very easy access to the city centre,<br />close to the bus stop.<br />clean quiet residential area,<br />beautiful open view .<br /><br /><b>The space</b><br />Second Floor , <br />2 bedrooms , <br />2 bathrooms , <br />Open plan dinning kitchen, <br />lift access, <br />wide doors are designed for wheelchair person, <br /><br /> extra sleeping pads sofa beds can be oranges before you complete booking with extra fee, <br /><br />balcony,<br />free parking, <br /><br />suitable for 3-6 people, <br /><br /> only 15-20 minutes by bus from Royal mile ( train station princes street, North Bridge), <br /><br />it is convenient to the city centre also the kings building of Edinburgh University, Cameron Toll shopping centre,  Infirmary and many university, <br /><br />fully furnished <br />full cooking and"
1293596,55.95448,-3.18603,2024-02-18,Double room in a 3-bedroom quiet apartment right in the city centre. Within 5 minutes walk to Waverley Station and close to all the attractions! Full access to the kitchen! Wifi is of course included :)
1346640,55.95613,-3.19891,2023-04-16,"<b>The space</b><br />This fabulous bright and airy A-listed apartment sits in the New Town conservation area in the heart of Edinburgh.  With its impressive Georgian architecture it is an idyllic retreat from the busy city sights, yet is only a 5-minute walk from George Street and the centre of the city.<br /><br />All Edinburgh landmarks are within easy reach.  The immediate area is home to up-market wine bars and restaurants for you to relax in after a day exploring the Castle and Royal Mile, enjoying the beauty of the Botanical Gardens or hitting the shops in the vibrant historic area of Stockbridge.<br /><br />Part of an historic townhouse with a beautiful entrance, the apartment has been decorated to a high standard and is well-equipped to support a fabulous stay in Edinburgh.<br /><br />We're now entering our tenth year on airbnb - our reviews speak for themselves."
1358157,55.97186,-3.23179,2020-12-31,"The city centre is within easy reach from this quiet residential area. This area is well serviced by public transport.<br />Local supermarkets are closeby.<br />Smoking is allowed in the garden area.<br /><br /><b>The space</b><br />Set in the north of Edinburgh, this 1930s garden villa flat offers easy access to the city centre of Edinburgh with off road parking available. The house still has some of the original features which adds character.<br /><br />The double room contains of a <br />double bed<br /> TV with buit in DVD<br /> Wi-fi <br />tea & coffee making facilities<br />Small fridge<br />Iron & iron board<br />Hairdryer<br />Linen & towels provided<br />*Breakfast is not included*<br /><br />The shared bathroom contain the original roll top bath with overhead shower and is serviced by constant hot water.<br /><br />The house is non smoking, but visitors are welcome to smoke outside in the garden and an umbrella can be provided :-) You are also welcome to relax in the sunny ba"
1367830,55.96055,-3.19433,2024-08-17,"Welcome to Edinburgh and the Festival Fringe month of August. This is a bright, spacious (5m x 4m) room in a shared Georgian apartment located in the heart of Edinburgh's New Town (A UNESCO World Heritage site)"
1386920,55.93571,-3.19664,2020-12-19,"A cosy room with all you need in a quiet flat in central Edinburgh. Room has a double cabin bed that's easy to access with steps, in a clean home with period features and high ceilings situated on Marchmont Crescent. You will have full use of the house and speedy wifi.  Surrounded by coffee shops, great breakfast cafes, even a victorian pool! You will be sharing with myself and we let out another room on airbnb some times. We keep a calm, quiet house. Fantastic location for festival.<br /><br /><b>The space</b><br />This is a  central,  calm, clean flat. The bedroom is small and has a double cabin bed, wifi and some quirky antiques. We are in a traditional tenement with high ceilings on the first floor. We have a lovely kitchen area which all guests have access to. The bathroom is small but has a great shower. <br /><br />The price includes: bedding, towels, internet access, kitchen access fresh coffee and tea. We welcome you to use the kitchen. Cupboard/ fridge space available if need"
1448024,55.95029,-3.18295,2020-12-31,"Chessels Court on The Royal Mile - a delightful top floor apartment located in the heart of Edinburgh's historic Old Town. <br /> <br />The three bedroom accommodation is ideally placed within walking distance to some of Edinburgh's most famous attractions, including Edinburgh Castle, The Royal Mile, John Knox’s House, St Giles, Scottish Parliament and Arthur’s Seat all within walking distance. It is also conveniently located for all the main Edinburgh Festival venues, including the Pleasance Courtyard.<br /><br /><b>The space</b><br />The rooms are bright, clean and spacious. The apartment is located on the top floor with views to East Lothian and Berwick Law, a modern toilet/shower/bath, large bright lounge and modern, fully supplied gas kitchen.<br /><br />There are two double bedrooms with views of Arthur’s Seat and a third futon bedroom - perfect for a family. For families, a travel cot can be provided if required.<br /><br /><b>Guest access</b><br />Chessels Court can be accessed"
1449545,55.97075,-3.26046,2020-12-31,"Freshly decorated house. Lovely double room available with shared kitchen and bathroom. Only 15-20 minutes bus ride to the city centre and very frequent bus timetable. Free parking in my driveway.<br /><br /><b>The space</b><br />The house is my home, it is a modern 3 bedroom semi detached house and with just one next door neighbour it is nice and quiet. There is free parking in my driveway. I have lived in Edinburgh all my life and resided for the last 15 years at this house, which is a short 20 minute bus ride into the heart of Edinburgh. So whether you are here on vacation, a business trip, or have come to enjoy the Festivals in August or New Year celebrations, it really is a convenient location. The Royal Botanical Gardens and the Royal Yacht Britannia are a 10 minute bus ride away. The city centre has much to offer visitors and the many tourist sites are within easy reach of one another, such as Edinburgh Castle, Arthur's Seat, Hollyrood Palace, The National Museum of Scotland, Th"
1553455,55.94649,-3.18882,2024-05-21,"Available now on long term let.<br /><br />Traditional top floor flat in the heart of Edinburgh's Old Town, with stunning view's of the South of the City including Arthur's seat and Salisbury Crags. Surrounded by all the museums, theatres and a host of excellent restaurants and bars.<br /><br />On the same street that Charles Darwin lived when studying in Edinburgh, the property has been let out to students during term time and performers during the festival month of August for the last few years."
1612493,55.91302,-3.16934,2024-09-13,"Quiet, comfortable,double room with bay window, sofa and central heating. Take a bus to the city or a wander in our greenbelt area. Comfortable sitting room, freshly ground coffee, free wifi, free parking, and a warm welcome await you.<br /><br />City of Edinburgh Short Term Let Licence Number: EH-70247-F<br />Energy Efficiency Rating: Band D"
1744689,55.95399,-3.17409,2024-02-19,"####BOOK WITH CONFIDENCE!#### <br />License and planning granted to continue LEGALLY as a holiday let. Not all have this, so check before booking!<br /><br />Cozy, comfortable home. Traditional Scottish flair mixed with modernity and everything you need.  One bedroom flat (sleeps 4) in superb central location, opposite Holyroodhouse Palace, private car parking and WiFi. Airport bus stops a 10 minute walk away, most attractions within walking distance."
1771945,55.94986,-3.14864,2021-06-12,"Our place is in an elevated position on the East side of Edinburgh, backing on to Holyrood Park.  It is 1.5 miles from the Royal Mile and the historic Old Town. Many different buses pass near going to the centre. You'll love it here because it is in a quiet place, has wonderful views and is close to amazing outdoor spaces, sandy beaches, and all amenities. My place is good for couples, solo adventurers, and business travellers.<br /><br /><b>The space</b><br />This might be the cosiest place in the entire city. The guests will have the beautiful bedroom on the photos all to themselves and a semi-private bathroom, that at certain times of the year will be used solely by them. <br /><br />The house has several bedrooms and two main bathrooms.<br /><br /><b>Guest access</b><br />Guests are welcome to use the kitchen & the sitting area. Also the backyard on request.<br /><br /><b>Other things to note</b><br />Make sure to book for two people of someone is meant to join your stay. The room "
